iter,dt_ms,wall_ms,gap_ms,env_steps_s,drone_steps_s,loss,recon,coll,ctrl,u_rms,grad_rms,param_rms,update_rms
37,542.745,543.394,0.649,147.399,589.596,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
38,535.830,536.454,0.625,149.301,597.205,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
39,554.523,555.107,0.583,144.268,577.072,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
40,556.836,557.334,0.498,143.669,574.676,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
41,540.823,541.370,0.547,147.923,591.691,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
42,539.446,540.070,0.624,148.300,593.201,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
43,555.238,555.745,0.507,144.082,576.329,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
44,553.476,554.186,0.710,144.541,578.164,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
45,548.277,548.825,0.548,145.912,583.647,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
46,541.943,542.617,0.674,147.617,590.468,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
47,544.267,544.920,0.653,146.987,587.947,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
48,545.771,546.287,0.516,146.582,586.326,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
49,541.135,541.641,0.506,147.837,591.350,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
50,540.244,540.909,0.665,148.081,592.325,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
51,546.495,547.125,0.630,146.388,585.550,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
52,540.966,541.453,0.486,147.883,591.534,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
53,542.111,542.752,0.641,147.571,590.285,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
54,538.398,539.012,0.614,148.589,594.356,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
55,550.183,550.701,0.518,145.406,581.625,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
56,537.938,538.437,0.499,148.716,594.864,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
57,552.236,552.744,0.508,144.866,579.462,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
58,544.664,545.250,0.585,146.879,587.518,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
59,544.387,544.906,0.519,146.954,587.817,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
60,539.453,540.038,0.584,148.298,593.193,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
61,543.428,544.053,0.625,147.214,588.854,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
62,553.900,554.574,0.674,144.430,577.722,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
63,557.032,557.503,0.471,143.618,574.473,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
64,537.979,538.546,0.567,148.705,594.819,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
65,544.971,545.466,0.494,146.797,587.187,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
66,539.766,540.502,0.736,148.212,592.849,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
67,546.503,547.077,0.574,146.385,585.541,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
68,541.317,541.857,0.539,147.788,591.150,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
69,540.007,540.711,0.704,148.146,592.585,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
70,538.272,539.063,0.790,148.624,594.494,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
71,542.144,542.683,0.539,147.562,590.249,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
72,542.195,542.775,0.581,147.548,590.194,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
73,570.986,571.531,0.545,140.108,560.434,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
74,556.511,557.466,0.955,143.753,575.011,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
75,554.478,555.222,0.744,144.280,577.119,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
76,571.995,572.952,0.958,139.861,559.446,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
77,576.810,577.364,0.553,138.694,554.775,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
78,550.157,550.707,0.550,145.413,581.652,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
79,562.255,562.743,0.488,142.284,569.137,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
80,602.657,603.261,0.604,132.745,530.982,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
81,571.983,572.568,0.584,139.864,559.457,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
82,617.331,617.892,0.561,129.590,518.360,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
83,638.260,639.261,1.002,125.341,501.363,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
84,636.910,637.537,0.627,125.606,502.425,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
85,575.033,575.600,0.567,139.122,556.490,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
86,552.330,552.877,0.546,144.841,579.363,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
87,557.024,557.572,0.548,143.620,574.482,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
88,570.127,570.671,0.544,140.320,561.278,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
89,578.238,579.035,0.797,138.351,553.406,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
90,549.306,549.851,0.545,145.638,582.553,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
91,555.520,556.117,0.597,144.009,576.037,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
92,551.866,552.607,0.741,144.963,579.851,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
93,545.523,546.263,0.741,146.648,586.593,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
94,565.291,565.908,0.618,141.520,566.080,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
95,551.544,552.115,0.571,145.047,580.190,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
96,555.410,555.973,0.563,144.038,576.151,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
97,550.215,550.650,0.435,145.398,581.591,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
98,567.282,567.849,0.566,141.023,564.093,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
99,566.277,566.823,0.546,141.274,565.095,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
100,550.276,550.798,0.522,145.382,581.527,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
101,555.059,555.561,0.502,144.129,576.516,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
102,548.100,548.627,0.527,145.959,583.835,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
103,561.514,562.272,0.758,142.472,569.888,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
104,564.401,565.018,0.618,141.743,566.973,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
105,552.075,552.726,0.651,144.908,579.631,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
106,551.755,552.313,0.558,144.992,579.968,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
107,567.506,568.030,0.524,140.968,563.871,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
108,567.283,567.805,0.522,141.023,564.092,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
109,551.182,551.703,0.521,145.142,580.570,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
110,557.186,557.726,0.540,143.579,574.314,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
111,546.854,547.379,0.524,146.291,585.165,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
112,550.746,551.295,0.550,145.258,581.031,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
113,561.418,561.963,0.544,142.496,569.985,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
114,557.434,558.003,0.568,143.515,574.059,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
115,548.667,549.221,0.554,145.808,583.232,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
116,568.581,569.130,0.549,140.701,562.805,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
117,557.212,557.699,0.487,143.572,574.288,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
118,544.619,545.146,0.527,146.892,587.566,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
119,585.929,586.495,0.566,136.535,546.141,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
120,549.348,549.987,0.639,145.627,582.509,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.754497e-02,0.000000e+00
